id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-18 11:59:36 EST,2/18/22,11:59:36,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Friday vibe  https://t.co/AbifvZjJnF,en,[],[],['https://pbs.twimg.com/media/FL5OQyTVUAEsT0V.jpg'],8,35,219,[],[],https://twitter.com/GutterCatGang/status/1494718251992895495,FALSE,,1,https://pbs.twimg.com/media/FL5OQyTVUAEsT0V.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-18 00:33:41 EST,2/18/22,00:33:41,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@JennCobo Yes  Gang gang,tl,[],[],[],0,0,3,[],[],https://twitter.com/GutterCatGang/status/1494545634241646594,FALSE,,0,,,,,,,,"[{'screen_name': 'JennCobo', 'name': 'Jenn Cobo', 'id': '410380484'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-17 22:39:41 EST,2/17/22,22:39:41,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,"Have fun tomorrow night, gang! 😼🌆",en,[],[],[],0,9,47,[],[],https://twitter.com/GutterCatGang/status/1494516945961373696,FALSE,https://twitter.com/GutterCatGang/status/1491240097857282051,0,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-17 19:05:51 EST,2/17/22,19:05:51,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Gang gang  Show off your DOG ⬇️  https://t.co/qCrDo1WHnU,en,[],[],['https://pbs.twimg.com/media/FL1lS7sUcAk2gpd.jpg'],246,74,524,[],[],https://twitter.com/GutterCatGang/status/1494463135524089857,FALSE,,1,https://pbs.twimg.com/media/FL1lS7sUcAk2gpd.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-17 12:26:14 EST,2/17/22,12:26:14,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@GutterGangSmoke 😹,und,[],[],[],1,1,11,[],[],https://twitter.com/GutterCatGang/status/1494362566948053003,FALSE,,0,,,,,,,,"[{'screen_name': 'GutterGangSmoke', 'name': 'Big Smoke 💨', 'id': '1470143953525690371'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-16 14:04:16 EST,2/16/22,14:04:16,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@topwaterpopper 🔥,und,[],[],[],0,0,1,[],[],https://twitter.com/GutterCatGang/status/1494024851257888773,FALSE,,0,,,,,,,,"[{'screen_name': 'topwaterpopper', 'name': 'Capt. Storm Basser', 'id': '781655490'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-16 12:53:45 EST,2/16/22,12:53:45,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@ClassicCrustAZ Welcome to the gang 🤝,en,[],[],[],0,2,20,[],[],https://twitter.com/GutterCatGang/status/1494007103320571904,FALSE,,0,,,,,,,,"[{'screen_name': 'ClassicCrustAZ', 'name': '⚡ Classic Crust 🍕', 'id': '3000619020'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-16 11:35:58 EST,2/16/22,11:35:58,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@sxtvik gm rat king,en,[],[],[],1,0,8,[],[],https://twitter.com/GutterCatGang/status/1493987528872923137,FALSE,,0,,,,,,,,"[{'screen_name': 'sxtvik', 'name': 'Satvik Sethi', 'id': '731800772174811136'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-16 11:34:11 EST,2/16/22,11:34:11,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,GM from the Rat King ☕️  https://t.co/LZDDFR6tmk,en,[],[],['https://pbs.twimg.com/media/FLu1Or0VcAIVCo0.jpg'],36,60,430,[],[],https://twitter.com/GutterCatGang/status/1493987081663647744,FALSE,,1,https://pbs.twimg.com/media/FLu1Or0VcAIVCo0.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-15 13:54:26 EST,2/15/22,13:54:26,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@Riffle318 Welcome to the gang 👊,en,[],[],[],0,0,8,[],[],https://twitter.com/GutterCatGang/status/1493659987758903297,FALSE,,0,,,,,,,,"[{'screen_name': 'Riffle318', 'name': 'Jason Riffle', 'id': '181041873'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
